question,answer,question keywords,answer keywords,combined keywords
What sweet causes hiccups?,Hiccough Sweet,"['cause', 'sweet', 'hiccup', 'what']","['sweet', 'hiccough']","['cause', 'sweet', 'hiccup', 'what', 'sweet', 'hiccough']"
What is a healing spell commonly used in the Hospital Wing?,Episkey,"['spell', 'wing', 'heal', 'use', 'what', 'hospital', 'commonly']",['episkey'],"['spell', 'wing', 'heal', 'use', 'what', 'hospital', 'commonly', 'episkey']"
Who is the house ghost of Hufflepuff?,The Fat Friar,"['who', 'ghost', 'hufflepuff', 'house']","['fat', 'friar']","['who', 'ghost', 'hufflepuff', 'house', 'fat', 'friar']"
How much gold do the Weasleys win in the Daily Prophet Grand Prize Galleon Draw?,700 galleons,"['much', 'prophet', 'daily', 'gold', 'win', 'grand', 'how', 'weasleys', 'draw', 'prize', 'galleon']",['galleon'],"['much', 'prophet', 'daily', 'gold', 'win', 'grand', 'how', 'weasleys', 'draw', 'prize', 'galleon', 'galleon']"
How often do the flowers of the Fluttery Bush Bloom?,Once per century,"['fluttery', 'bloom', 'how', 'flower', 'often', 'bush']","['per', 'century']","['fluttery', 'bloom', 'how', 'flower', 'often', 'bush', 'per', 'century']"
What causes the nightly movement of the stars across the sky?,The rotation of the Earth.,"['sky', 'star', 'across', 'movement', 'what', 'cause', 'nightly']","['earth', 'rotation']","['sky', 'star', 'across', 'movement', 'what', 'cause', 'nightly', 'earth', 'rotation']"
On what date did the Battle of Hogwarts end with Voldemort’s death?,"May 2, 1998","['death', 'date', 'voldemorts', 'what', 'end', 'battle', 'hogwarts']",['may'],"['death', 'date', 'voldemorts', 'what', 'end', 'battle', 'hogwarts', 'may']"
What is the name of Fred and George Weasley’s shop?,Weasley’s Wizard Wheezes,"['shop', 'george', 'weasleys', 'fred', 'what', 'name']","['weasleys', 'wheeze', 'wizard']","['shop', 'george', 'weasleys', 'fred', 'what', 'name', 'weasleys', 'wheeze', 'wizard']"
"Throughout his school years, Harry owns two brooms. Which are they?",Nimbus 2000 and Firebolt,"['school', 'harry', 'which', 'throughout', 'broom', 'own', 'two', 'year']","['firebolt', 'nimbus']","['school', 'harry', 'which', 'throughout', 'broom', 'own', 'two', 'year', 'firebolt', 'nimbus']"
What is the shape of the knocker on the door to the Ravenclaw Common Room?,Eagle,"['ravenclaw', 'room', 'knocker', 'door', 'what', 'shape', 'common']",['eagle'],"['ravenclaw', 'room', 'knocker', 'door', 'what', 'shape', 'common', 'eagle']"
"In the movie, who hugs Draco Malfoy?",Voldemort (and it’s super awkward),"['hug', 'movie', 'who', 'malfoy', 'draco']","['awkward', 'voldemort', 'super']","['hug', 'movie', 'who', 'malfoy', 'draco', 'awkward', 'voldemort', 'super']"
Where do first-years have Herbology class?,Greenhouse One,"['where', 'firstyears', 'class', 'herbology']","['greenhouse', 'one']","['where', 'firstyears', 'class', 'herbology', 'greenhouse', 'one']"
Which wand wood is considered unlucky?,Elder,"['which', 'wand', 'wood', 'unlucky', 'consider']",['elder'],"['which', 'wand', 'wood', 'unlucky', 'consider', 'elder']"
Who is the autor of 'Beginners Guide to Transfigurations'?,Emeric Switch,"['autor', 'guide', 'transfiguration', 'who', 'beginner']","['emeric', 'switch']","['autor', 'guide', 'transfiguration', 'who', 'beginner', 'emeric', 'switch']"
What is Lily Potter's birthday?,"Jan. 30, 1960","['potter', 'lily', 'birthday', 'what']",['jan'],"['potter', 'lily', 'birthday', 'what', 'jan']"
What type of creature is Fluffy?,A three-headed dog,"['creature', 'type', 'fluffy', 'what']","['dog', 'threeheaded']","['creature', 'type', 'fluffy', 'what', 'dog', 'threeheaded']"
What does Professor Vector Teach?,Arithmancy.,"['vector', 'professor', 'teach', 'what']",['arithmancy'],"['vector', 'professor', 'teach', 'what', 'arithmancy']"
Which of these plants has healing properties?,Dittany,"['which', 'plant', 'heal', 'property']",['dittany'],"['which', 'plant', 'heal', 'property', 'dittany']"
Do ancient runes have magical properties themselves?,"No, they don't.","['property', 'rune', 'ancient', 'magical']",['dont'],"['property', 'rune', 'ancient', 'magical', 'dont']"
Wiggentrees are guarded by what creature?,Bowtruckle,"['guard', 'wiggentrees', 'creature', 'what']",['bowtruckle'],"['guard', 'wiggentrees', 'creature', 'what', 'bowtruckle']"
What house was Moaning Myrtle sorted into?,Ravenclaw,"['sort', 'moan', 'house', 'myrtle', 'what']",['ravenclaw'],"['sort', 'moan', 'house', 'myrtle', 'what', 'ravenclaw']"
Who is the Transfiguration Professor?,Minerva McGonagall,"['transfiguration', 'who', 'professor']","['mcgonagall', 'minerva']","['transfiguration', 'who', 'professor', 'mcgonagall', 'minerva']"
Where is the entrance to the Chamber of Secrets hidden?,The girls' bathroom,"['where', 'hide', 'secret', 'entrance', 'chamber']","['girl', 'bathroom']","['where', 'hide', 'secret', 'entrance', 'chamber', 'girl', 'bathroom']"
Who invented Sleakeazy's Hair Potion?,Fleamont Potter,"['potion', 'hair', 'who', 'sleakeazys', 'invent']","['potter', 'fleamont']","['potion', 'hair', 'who', 'sleakeazys', 'invent', 'potter', 'fleamont']"
"In the book, who becomes the temporary guard to the Gryffindor common room after the Fat Lady’s painting is damaged?",Sir Cadogan,"['fat', 'book', 'who', 'gryffindor', 'common', 'ladys', 'painting', 'guard', 'room', 'damage', 'temporary', 'become']","['cadogan', 'sir']","['fat', 'book', 'who', 'gryffindor', 'common', 'ladys', 'painting', 'guard', 'room', 'damage', 'temporary', 'become', 'cadogan', 'sir']"
Which four characters hold the position of Minister of Magic throughout the books?,"Cornelius Fudge, Rufus Scrimgeour, Pius Thicknesse and Kingsley Shacklebolt","['which', 'position', 'book', 'hold', 'minister', 'magic', 'throughout', 'four', 'character']","['kingsley', 'shacklebolt', 'scrimgeour', 'thicknesse', 'fudge', 'pius', 'cornelius', 'rufus']","['which', 'position', 'book', 'hold', 'minister', 'magic', 'throughout', 'four', 'character', 'kingsley', 'shacklebolt', 'scrimgeour', 'thicknesse', 'fudge', 'pius', 'cornelius', 'rufus']"
Which of these plants doesn't bite?,Whomping Willow,"['which', 'plant', 'doesnt', 'bite']","['willow', 'whomp']","['which', 'plant', 'doesnt', 'bite', 'willow', 'whomp']"
What spell turns an object into stone?,Duro,"['spell', 'turn', 'object', 'what', 'stone']",['duro'],"['spell', 'turn', 'object', 'what', 'stone', 'duro']"
Name the Defense Against the Dark Arts teachers during Harry's six years at Hogwarts.,"Professor Quirinus Quirrell, Professor Gilderoy Lockhart, Professor Remus Lupin, Barty Crouch Jr. in disguise as Professor Mad-Eye Moody, Professor Dolores Umbridge, Professor Severus Snape.","['hogwarts', 'year', 'defense', 'arts', 'six', 'harrys', 'teacher', 'name', 'dark']","['dolores', 'madeye', 'quirrell', 'disguise', 'severus', 'snape', 'lockhart', 'lupin', 'professor', 'umbridge', 'quirinus', 'moody', 'crouch', 'jr', 'gilderoy', 'barty', 'remus']","['hogwarts', 'year', 'defense', 'arts', 'six', 'harrys', 'teacher', 'name', 'dark', 'dolores', 'madeye', 'quirrell', 'disguise', 'severus', 'snape', 'lockhart', 'lupin', 'professor', 'umbridge', 'quirinus', 'moody', 'crouch', 'jr', 'gilderoy', 'barty', 'remus']"
Hermione discovered that the Basilisk was moving around the castle using what?,The Plumbing,"['hermione', 'basilisk', 'move', 'castle', 'around', 'discover', 'use', 'what']",['plumbing'],"['hermione', 'basilisk', 'move', 'castle', 'around', 'discover', 'use', 'what', 'plumbing']"
What's the address of the Black family home?,12 Grimmauld Place,"['address', 'family', 'home', 'black', 'whats']","['place', 'grimmauld']","['address', 'family', 'home', 'black', 'whats', 'place', 'grimmauld']"
The wizarding version of marbles is called what?,Gobstones.,"['call', 'version', 'wizarding', 'what', 'marble']",['gobstones'],"['call', 'version', 'wizarding', 'what', 'marble', 'gobstones']"
"In the wizarding world, speaking to snakes is a skill called what; famously practiced by who?","Parseltongue, Lord Voldemort.","['call', 'skill', 'who', 'wizarding', 'snake', 'world', 'famously', 'what', 'speaking', 'practice']","['parseltongue', 'voldemort', 'lord']","['call', 'skill', 'who', 'wizarding', 'snake', 'world', 'famously', 'what', 'speaking', 'practice', 'parseltongue', 'voldemort', 'lord']"
What does the Trip Jinx cause its victim to do?,Fall Over,"['jinx', 'victim', 'trip', 'what', 'cause']",['fall'],"['jinx', 'victim', 'trip', 'what', 'cause', 'fall']"
Emeric the Evil was killed in a duel against whom?,Egbert the Egregious,"['emeric', 'evil', 'kill', 'duel']","['egbert', 'egregious']","['emeric', 'evil', 'kill', 'duel', 'egbert', 'egregious']"
What is a potion that cause boils of brewed incorrectly?,Cure for Boils,"['brew', 'potion', 'incorrectly', 'what', 'cause', 'boil']","['cure', 'boil']","['brew', 'potion', 'incorrectly', 'what', 'cause', 'boil', 'cure', 'boil']"
What would Peevsey do at the International Warlock Convention?,Wreak havoc,"['international', 'peevsey', 'what', 'convention', 'warlock', 'would']","['havoc', 'wreak']","['international', 'peevsey', 'what', 'convention', 'warlock', 'would', 'havoc', 'wreak']"
Ron was jealous because Hermione went to the Yule Ball with whom?,Viktor Krum,"['hermione', 'ball', 'ron', 'yule', 'go', 'jealous']","['krum', 'viktor']","['hermione', 'ball', 'ron', 'yule', 'go', 'jealous', 'krum', 'viktor']"
What creature tries to eat Harry in the lake during the Triwizard Tournament?,Merpeople,"['harry', 'triwizard', 'lake', 'try', 'eat', 'what', 'creature', 'tournament']",['merpeople'],"['harry', 'triwizard', 'lake', 'try', 'eat', 'what', 'creature', 'tournament', 'merpeople']"
Switching spells simultaneously transfigure how many objects?,Two,"['spell', 'many', 'transfigure', 'object', 'how', 'simultaneously', 'switch']",['two'],"['spell', 'many', 'transfigure', 'object', 'how', 'simultaneously', 'switch', 'two']"
One's defences against the Dark Arts must be what?,Versatile,"['defence', 'one', 'art', 'must', 'what', 'dark']",['versatile'],"['defence', 'one', 'art', 'must', 'what', 'dark', 'versatile']"
What is the branch of magic that deals with altering the form or appearance of an object?,Transfiguration,"['alter', 'deal', 'object', 'form', 'branch', 'magic', 'what', 'appearance']",['transfiguration'],"['alter', 'deal', 'object', 'form', 'branch', 'magic', 'what', 'appearance', 'transfiguration']"
Hermione places a jinx on the piece of parchment members of Dumbledore’s Army sign. What happens to those who betray the group?,Pustules will form the word sneak across their foreheads.,"['place', 'parchment', 'hermione', 'jinx', 'dumbledores', 'army', 'piece', 'group', 'who', 'member', 'sign', 'happen', 'betray', 'what']","['form', 'across', 'sneak', 'word', 'forehead', 'pustule']","['place', 'parchment', 'hermione', 'jinx', 'dumbledores', 'army', 'piece', 'group', 'who', 'member', 'sign', 'happen', 'betray', 'what', 'form', 'across', 'sneak', 'word', 'forehead', 'pustule']"
From which London station does the Hogwarts Express depart?,King's Cross Station,"['which', 'depart', 'express', 'london', 'station', 'hogwarts']","['station', 'cross', 'king']","['which', 'depart', 'express', 'london', 'station', 'hogwarts', 'station', 'cross', 'king']"
"For Harry's 17th birthday, what colour did Hermione turn the leaves of the Weasley’s crabapple tree?",Gold.,"['tree', 'hermione', 'birthday', 'turn', 'crabapple', 'leave', 'harrys', 'weasleys', 'what', 'colour', 'th']",['gold'],"['tree', 'hermione', 'birthday', 'turn', 'crabapple', 'leave', 'harrys', 'weasleys', 'what', 'colour', 'th', 'gold']"
Why did Hermione miss the lesson on Cheering Charms?,Draco's cruel behavior led her to miss the class.,"['hermione', 'cheer', 'miss', 'why', 'charm', 'lesson']","['lead', 'miss', 'cruel', 'class', 'draco', 'behavior']","['hermione', 'cheer', 'miss', 'why', 'charm', 'lesson', 'lead', 'miss', 'cruel', 'class', 'draco', 'behavior']"
Which potion would make Rowan feel better?,Pepperup Potion.,"['which', 'potion', 'make', 'well', 'feel', 'rowan', 'would']","['potion', 'pepperup']","['which', 'potion', 'make', 'well', 'feel', 'rowan', 'would', 'potion', 'pepperup']"
How long should a Polyjuice Potion stew before usage?,One Month,"['stew', 'usage', 'potion', 'how', 'polyjuice', 'long']","['month', 'one']","['stew', 'usage', 'potion', 'how', 'polyjuice', 'long', 'month', 'one']"
Which of these plants is a Class C non-traceable substance?,Venomous Tentacula,"['which', 'plant', 'class', 'nontraceable', 'substance']","['venomous', 'tentacula']","['which', 'plant', 'class', 'nontraceable', 'substance', 'venomous', 'tentacula']"
What is Draco Malfoy’s mother’s name?,Narcissa,"['malfoys', 'what', 'draco', 'name', 'mother']",['narcissa'],"['malfoys', 'what', 'draco', 'name', 'mother', 'narcissa']"
What spell did I create with Badeea?,Flipendo Maxima.,"['create', 'spell', 'badeea', 'what']","['flipendo', 'maximum']","['create', 'spell', 'badeea', 'what', 'flipendo', 'maximum']"
What book did Beedle the Bard write?,The Tales of Beedle the Bard,"['beedle', 'book', 'write', 'bard', 'what']","['beedle', 'tale', 'bard']","['beedle', 'book', 'write', 'bard', 'what', 'beedle', 'tale', 'bard']"
Which Wizard used the Tarantallegra spell in 79 AD to conjure a dance within Mt. Vesuvius?,Zaccaria Innocenti,"['which', 'spell', 'conjure', 'tarantallegra', 'wizard', 'within', 'mt', 'vesuvius', 'use', 'dance', 'ad']","['zaccaria', 'innocenti']","['which', 'spell', 'conjure', 'tarantallegra', 'wizard', 'within', 'mt', 'vesuvius', 'use', 'dance', 'ad', 'zaccaria', 'innocenti']"
Who was in love with Helena Ravenclaw?,The Bloody Baron,"['love', 'who', 'helena', 'ravenclaw']","['baron', 'bloody']","['love', 'who', 'helena', 'ravenclaw', 'baron', 'bloody']"
What barrel do you need to tap to enter the Hufflepuff common room?,"Two from the Bottom, Middle of the Second Row","['hufflepuff', 'barrel', 'room', 'enter', 'need', 'tap', 'what', 'common']","['two', 'middle', 'bottom', 'second', 'row']","['hufflepuff', 'barrel', 'room', 'enter', 'need', 'tap', 'what', 'common', 'two', 'middle', 'bottom', 'second', 'row']"
What day did James and Lily Potter die?,Oct. 31,"['lily', 'die', 'day', 'potter', 'jam', 'what']",['oct'],"['lily', 'die', 'day', 'potter', 'jam', 'what', 'oct']"
Where did Harry Potter live with his muggle relatives the Dursleys?,Privet Drive,"['harry', 'live', 'potter', 'where', 'dursleys', 'muggle', 'relative']","['privet', 'drive']","['harry', 'live', 'potter', 'where', 'dursleys', 'muggle', 'relative', 'privet', 'drive']"
What ingredients 'seal' a werewolf bite?,Silver and Dittany,"['ingredients', 'werewolf', 'bite', 'what', 'seal']","['dittany', 'silver']","['ingredients', 'werewolf', 'bite', 'what', 'seal', 'dittany', 'silver']"
Who makes laws for the magical world?,The Ministry of Magic.,"['law', 'make', 'who', 'magical', 'world']","['magic', 'ministry']","['law', 'make', 'who', 'magical', 'world', 'magic', 'ministry']"
What is true about gerbils?,They like to burrow,"['gerbil', 'true', 'what']","['burrow', 'like']","['gerbil', 'true', 'what', 'burrow', 'like']"
Which spell would you use to tame Devil's Snare?,Incendio,"['which', 'spell', 'devil', 'use', 'tame', 'snare', 'would']",['incendio'],"['which', 'spell', 'devil', 'use', 'tame', 'snare', 'would', 'incendio']"
What is Draco Malfoy's wand made of?,Hawthorne,"['wand', 'make', 'malfoys', 'what', 'draco']",['hawthorne'],"['wand', 'make', 'malfoys', 'what', 'draco', 'hawthorne']"
What is the name of the gamekeeper and Care of Magical Creatures professor during Harry's first year at Hogwarts?,Rubeus Hagrid,"['hogwarts', 'professor', 'first', 'magical', 'harrys', 'what', 'creature', 'gamekeeper', 'care', 'name', 'year']","['hagrid', 'rubeus']","['hogwarts', 'professor', 'first', 'magical', 'harrys', 'what', 'creature', 'gamekeeper', 'care', 'name', 'year', 'hagrid', 'rubeus']"
When is Harry's birthday?,"July 31, 1980.","['birthday', 'when', 'harrys']",['july'],"['birthday', 'when', 'harrys', 'july']"
What does the number 14 reduce to?,Five,"['reduce', 'number', 'what']",['five'],"['reduce', 'number', 'what', 'five']"
What is the effect of the Stupefy spell?,Stun you,"['spell', 'effect', 'stupefy', 'what']",['stun'],"['spell', 'effect', 'stupefy', 'what', 'stun']"
How would you describe a Pixie's voice?,Shrill,"['voice', 'how', 'pixy', 'describe', 'would']",['shrill'],"['voice', 'how', 'pixy', 'describe', 'would', 'shrill']"
